date,seller_name,seller_city,seller_state,seller_phone,car_make,car_model,car_year,car_color,customer_name,customer_email,customer_phone,customer_address,price
2024-10-14,"Coffey, Martinez and Nguyen",Jacquelineborough,Ohio,+1-307-640-3971x93347,Chrysler,Pacifica,2004,Lavender,Brian Lin,aliciareed@example.net,460-498-4914x8367,"81825 Alyssa Course, Port Stephanie, WI 21692",25360.44
2024-07-24,Hutchinson Ltd,North Brianna,Pennsylvania,+1-571-930-1438x49678,Fiat,Doblo,2013,DarkViolet,George Cruz,james93@example.net,869.754.8494x581,"45343 Sergio Inlet, South Jenniferfurt, DE 77069",21372.88
2024-12-26,"Mcknight, Li and Valenzuela",Lake Teresaburgh,New Jersey,+1-829-365-6220,Cadillac,CT5,2011,DarkSlateBlue,John Davis,powelllisa@example.org,+1-700-244-7975,"4534 Barbara Crossroad, Lake Amanda, AK 37606",18514.23
2024-03-06,Curry-Wong,Waltersmouth,Nebraska,+1-734-784-4794x66221,Honda,Pilot,2012,HoneyDew,Kristen Phillips,debra93@example.org,+1-602-412-3750x8737,"945 Kelli Meadows, New Carolyn, SD 82888",12671.52
2025-06-06,Martin Group,Michelefurt,Connecticut,(370)331-5298x1138,Ferrari,Portofino,2015,Maroon,Edward Avery,fernandezgregory@example.net,939.873.1070x105,"553 Howard Plains Suite 612, Shahport, DC 27751",77106.16
2025-08-31,"Harris, Jacobs and Kaiser",Wyattside,Michigan,821-840-0964x479,Seat,Tarraco,2012,Linen,Brandi Cunningham,donaldroth@example.net,301-267-2749,"3326 Gardner Gardens Suite 547, East Stephenborough, NM 63958",20333.40
2024-08-11,Fuentes-Martinez,South Noahtown,Colorado,492-572-0674,Jeep,Renegade,2022,DarkKhaki,Elizabeth Hoffman,mbeltran@example.org,+1-665-332-4462x814,"270 Lopez Corner, Davidview, ME 45315",33515.48
2024-04-21,Obrien and Sons,Cookton,North Carolina,+1-399-364-2636,Mitsubishi,Eclipse Cross,2011,LimeGreen,David Simmons,daniel05@example.com,831.220.2358x3766,"27131 Chad Port, Lewismouth, VA 64191",13898.90
2024-09-23,"Mitchell, Bailey and Vargas",Port Joseph,Washington,735.417.6853x00690,Bentley,Continental,2000,LightGray,Alexis Arnold,patricklisa@example.net,896.963.5054,"586 Christina Garden, South Cherylview, OK 48825",55903.46
2025-09-03,Woods-Avila,Benjaminfurt,South Carolina,+1-630-936-5246x36264,Toyota,Land Cruiser,2018,MediumTurquoise,Joshua Mitchell,barbara07@example.com,001-407-321-8840,"8217 Heather Street Apt. 189, New Krystal, NC 39523",79683.77
2023-11-08,"Coffey, Martinez and Nguyen",Jacquelineborough,Ohio,+1-307-640-3971x93347,Lamborghini,Aventador,2013,WhiteSmoke,Sherri Tanner,tonya24@example.com,291.709.5367x8569,"4698 Margaret Points Suite 209, Dawnhaven, WY 62617",77590.54
2024-05-31,Woods-Avila,Benjaminfurt,South Carolina,+1-630-936-5246x36264,Mitsubishi,Eclipse Cross,2021,MediumPurple,Jose Rasmussen,maureenperez@example.org,(204)965-4500,"688 Morales Points Apt. 745, North Katherinefurt, VI 86530",99453.65
2024-09-15,Martin Group,Michelefurt,Connecticut,(370)331-5298x1138,Acura,ILX,2015,GhostWhite,David Simmons,daniel05@example.com,831.220.2358x3766,"27131 Chad Port, Lewismouth, VA 64191",92348.22
2024-08-18,"Adkins, Fields and Willis",East Kenneth,Michigan,001-951-330-7869x058,Lincoln,Aviator,2014,Azure,Michelle Rodriguez,hudsonmargaret@example.net,6392066247,"69121 Evelyn Land Suite 619, East Davidmouth, HI 80187",83581.53
2024-04-10,"Harris, Jacobs and Kaiser",Wyattside,Michigan,821-840-0964x479,Nissan,Sentra,2003,DodgerBlue,Thomas Brown,george03@example.com,727-327-4886x2670,"95361 Robertson Station Apt. 187, New Dorothy, LA 62326",47266.86
2024-10-04,Hutchinson Ltd,North Brianna,Pennsylvania,+1-571-930-1438x49678,Infiniti,QX80,2019,Pink,Alexis Jenkins,scotthampton@example.org,843-954-5177,"5701 Dawn Expressway, New Daniel, UT 76717",38173.86
2024-08-13,Moran Group,Cantuberg,Mississippi,001-477-912-1208x072,Proton,Saga,2003,Green,Anthony Cook,stephanie51@example.net,001-545-463-1632x227,"7878 Amanda Ways Apt. 821, Jeremiahmouth, NH 50526",17966.76
